time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.32931812119305e-08,1.2170030159327312e-07,10.005121550685807,0.00012177382954803306,6.283024960415704,0.0,1.1428257004254156e-05,1.122155653097713e-05,0.1707074732141236,0.005807893541290348,-0.008639781783538978,0.0,458.64020064623315,457.9536649577156,459.045504412868,459.5060252374081
0.12000000000000001,5.6275897250506255e-06,4.369756634259983e-06,10.017025104709951,0.0001090676808921387,6.282628836917429,0.0,0.00021639789119614537,0.00015029444182289287,0.22606781399697295,-0.016339432688420134,-0.0028097419610446884,0.0,422.70114151263806,423.20326765034525,423.07953456882603,421.16870620586565
0.18,3.2643874761569406e-05,1.1497322181336621e-05,10.037512877593413,6.28208994722492,6.28277938314525,0.0,0.0006831473961401185,-4.370696963376116e-05,0.456793727613517,-0.02884505826160124,0.011452407949656981,0.0,475.5947390774377,476.68563828034064,477.6516144317612,476.6971533363096
0.23999999999999996,7.859382919637871e-05,-1.6688713507591802e-05,10.065301267973167,6.280321967287241,0.0003680793351854561,0.0,0.0007833067566158612,-0.0010516227541297893,0.46948045497149626,-0.030738535359448333,0.015648545873859155,0.0,408.85239979063294,409.22592489508656,408.0150864293101,407.84568197211945
0.3,0.00011385207043630355,-0.00014849314067879509,10.09727250474313,6.278050382317273,0.0014245454553574177,0.0,0.0002860059329066904,-0.003552904756239038,0.5961684987246205,-0.05853681107180483,0.021263267096791112,0.0,446.1231620525559,446.5812367086922,445.8628892853067,443.5854393197161
0.36000000000000004,9.987721119989497e-05,-0.00046913432848210644,10.133975555764527,6.274648169244482,0.0029739151293686206,0.0,-0.0008826629282830012,-0.0074522017966177755,0.6272474878890032,-0.05326968865735331,0.03366012049768305,0.0,413.7637434928315,414.8537174301176,415.1399739691737,415.59936107170114
0.4200000000000001,-2.0956527098203376e-05,-0.001101081003797851,10.174201171422935,6.271502129245432,0.005087502633807084,0.0,-0.0033517545082544327,-0.013929215606960182,0.713552132299037,-0.05081351364609847,0.03818764076858481,0.0,432.70298303485424,433.08447854692054,432.9364746066387,433.14118511733886
0.48000000000000015,-0.00033749362499613543,-0.00219271003506892,10.220263874401473,6.268659996847106,0.007566739460640015,0.0,-0.007445981089730074,-0.022760789302806988,0.8217938603708832,-0.041244730880382656,0.04694575080618528,0.0,439.827557847952,440.5531278778279,439.5498206574849,440.340584327314
0.5400000000000001,-0.0009951542113548824,-0.003949040378298311,10.277998751434898,6.266349421906783,0.010115928692441045,0.0,-0.014822185274687608,-0.036087534053840034,1.1024663708064832,-0.03353577983294003,0.03161118037966288,0.0,492.5830643893777,491.44868290720524,490.9810555904174,491.5520032521923
0.6000000000000002,-0.002102500698590768,-0.006471114924699599,10.347235835347943,6.264581682295837,0.012633920620299222,0.0,-0.022319996857572855,-0.048172365661261006,1.205327069926028,-0.022357923989599352,0.05721130402002797,0.0,438.438033559389,440.560497717868,438.2018013156298,439.1296043362321
0.6600000000000003,-0.0037859895526417358,-0.009850764904523909,10.427844409753318,6.263152708248665,0.015764840554473025,0.0,-0.03421572408459173,-0.06465379997163097,1.4812997898462998,-0.026904794330103562,0.0395191868666295,0.0,491.9676046896629,490.65746110676787,490.97047103471397,490.6330350713837
0.7200000000000003,-0.006235292957675793,-0.014226699373969122,10.523503960097027,6.261788939190712,0.01833255356870378,0.0,-0.047721422510508794,-0.08138268361556418,1.7070331474985934,-0.015469423311357014,0.048650690830550646,0.0,477.48064295224077,478.177567241621,476.3667775277468,477.240318933541
0.7800000000000004,-0.009535417778987471,-0.019608901780473382,10.631411120160708,6.260431407686886,0.02105718147505975,0.0,-0.06260082447412046,-0.09814103620308767,1.8895784426645847,-0.04346810140894298,0.037984049285715096,0.0,465.86953828361925,465.03590489849347,466.12210856143787,463.92893593493187
0.8400000000000004,-0.0137563809848753,-0.02600015388149777,10.748764640115509,6.258015553108503,0.022991834084195695,0.0,-0.07832206948482108,-0.1151630418688303,2.0219678195348365,-0.03452466525931944,0.01714988818098048,0.0,452.74731569128136,451.06839818790576,448.97293035772753,449.6970756315716
0.9000000000000005,-0.018953575919016277,-0.03345781916613929,10.873873516480568,6.256357028342986,0.02432515830003812,0.0,-0.09503928286662985,-0.13361471340899397,2.1480896326533245,-0.016566348219246123,0.03081043498658105,0.0,449.1123338139334,450.2189135376119,447.98408144494095,449.4416264334172
0.9600000000000005,-0.025245776965819172,-0.04211959749250375,11.008956382090847,6.255104479667038,0.026819143738510576,0.0,-0.11495341319413957,-0.15523062178154964,2.354258562906435,-0.03130372814076574,0.05724893510947392,0.0,473.4002059764476,475.43085265667264,473.8552185704174,472.7210200860426
1.0200000000000005,-0.03267732821744772,-0.051986674184078166,11.15199820882052,6.253253960097094,0.03030282901077097,0.0,-0.13309386529245862,-0.17384745396856663,2.413661218363571,-0.029934318174153093,0.059638143868719004,0.0,429.4667566010624,429.6718168880251,429.29116791837333,429.40698931773943
1.0800000000000005,-0.04121879889415881,-0.0629608451368716,11.297093144157113,6.251475260526377,0.03377085995464757,0.0,-0.15193373367065682,-0.19211609648670047,2.4227992410114374,-0.029072630947736756,0.05384747386279499,0.0,413.19550709183653,412.6872864013303,413.30777953529764,413.38337293038956
1.1400000000000006,-0.0510953874315694,-0.07519676077718215,11.446909032560098,6.24969325088097,0.03684975288223846,0.0,-0.17761991920124742,-0.2159298956631282,2.5707197671291246,-0.030985495478092352,0.04569824489870391,0.0,458.36138909267413,457.71490897898633,457.38820638665885,457.23559726175864
